PLC ,B1   ,201809160806,226,1001001009
PLC ,B1   ,201809160807,207,1001001009
PLC ,B1   ,201809160808,211,1001001009
PLC ,B1   ,201809160809,170,1001001009
PLC ,B1   ,201809160810,186,1001001009
PLC ,B1   ,201809160811,191,1001001009
PLC ,B1   ,201809160812,215,1001001009
PLC ,B1   ,201809160813,192,1001001009
PLC ,B1   ,201809160814,166,1001001009
PLC ,B1   ,201809160815,211,1001001009
PLC ,B1   ,201809160816,192,1001001009
PLC ,B1   ,201809160817,177,1001001009
PLC ,B1   ,201809160818,196,1001001009
PLC ,B1   ,201809160819,180,1001001009
PLC ,B1   ,201809160820,161,1001001009
PLC ,B1   ,201809160821,150,1001001009
PLC ,B1   ,201809160822,190,1001001009
PLC ,B1   ,201809160823,152,1001001009
PLC ,B1   ,201809160824,152,1001001009
PLC ,B1   ,201809160825,147,1001001009
PLC ,B1   ,201809160826,155,1001001009
PLC ,B1   ,201809160827,153,1001001009
PLC ,B1   ,201809160828,203,1001001009
PLC ,B1   ,201809160829,152,1001001009
PLC ,B1   ,201809160830,186,1001001009
PLC ,B1   ,201809160831,186,1001001009
PLC ,B1   ,201809160832,146,1001001009
PLC ,B1   ,201809160833,189,1001001009
PLC ,B1   ,201809160834,209,1001001009
PLC ,B1   ,201809160835,171,1001001009
PLC ,B1   ,201809160836,171,1001001009
PLC ,B1   ,201809160837,159,1001001009
PLC ,B1   ,201809160838,167,1001001009
PLC ,B1   ,201809160839,190,1001001009
PLC ,B1   ,201809160840,187,1001001009
PLC ,B1   ,201809160841,197,1001001009
PLC ,B1   ,201809160842,171,1001001009
PLC ,B1   ,201809160843,182,1001001009
PLC ,B1   ,201809160844,130,1001001009
PLC ,B1   ,201809160845,214,1001001009
PLC ,B1   ,201809160846,198,1001001009
PLC ,B1   ,201809160847,197,1001001009
PLC ,B1   ,201809160848,183,1001001009
PLC ,B1   ,201809160849,221,1001001009
PLC ,B1   ,201809160850,239,1001001009
PLC ,B1   ,201809160851,195,1001001009
PLC ,B1   ,201809160852,191,1001001009
PLC ,B1   ,201809160853,171,1001001009
PLC ,B1   ,201809160854,170,1001001009
PLC ,B1   ,201809160855,202,1001001009
PLC ,B1   ,201809160856,166,1001001009
PLC ,B1   ,201809160857,159,1001001009
PLC ,B1   ,201809160858,196,1001001009
PLC ,B1   ,201809160859,184,1001001009
PLC ,B1   ,201809160900,201,1001001009
PLC ,B1   ,201809160901,207,1001001009
PLC ,B1   ,201809160902,187,1001001009
PLC ,B1   ,201809160903,214,1001001009
PLC ,B1   ,201809160904,214,1001001009
PLC ,B1   ,201809160905,187,1001001009
PLC ,B1   ,201809160906,188,1001001009
PLC ,B1   ,201809160907,187,1001001009
PLC ,B1   ,201809160908,175,1001001009
PLC ,B1   ,201809160909,193,1001001009
PLC ,B1   ,201809160910,209,1001001009
PLC ,B1   ,201809160911,200,1001001009
PLC ,B1   ,201809160912,211,1001001009
PLC ,B1   ,201809160913,218,1001001009
PLC ,B1   ,201809160914,167,1001001009
PLC ,B1   ,201809160915,213,1001001009
PLC ,B1   ,201809160916,166,1001001009
PLC ,B1   ,201809160917,169,1001001009
PLC ,B1   ,201809160918,203,1001001009
PLC ,B1   ,201809160919,210,1001001009
PLC ,B1   ,201809160920,194,1001001009
PLC ,B1   ,201809160921,243,1001001009
PLC ,B1   ,201809160922,201,1001001009
PLC ,B1   ,201809160923,191,1001001009
PLC ,B1   ,201809160924,163,1001001009
PLC ,B1   ,201809160925,165,1001001009
PLC ,B1   ,201809160926,177,1001001009
PLC ,B1   ,201809160927,194,1001001009
PLC ,B1   ,201809160928,213,1001001009
PLC ,B1   ,201809160929,176,1001001009
