CWB ,B1   ,201809160858,265,1001001009
CWB ,B1   ,201809160859,280,1001001009
CWB ,B1   ,201809160900,261,1001001009
CWB ,B1   ,201809160901,303,1001001009
CWB ,B1   ,201809160902,272,1001001009
CWB ,B1   ,201809160903,261,1001001009
CWB ,B1   ,201809160904,293,1001001009
CWB ,B1   ,201809160905,300,1001001009
CWB ,B1   ,201809160906,317,1001001009
CWB ,B1   ,201809160907,325,1001001009
CWB ,B1   ,201809160908,237,1001001009
CWB ,B1   ,201809160909,261,1001001009
CWB ,B1   ,201809160910,295,1001001009
CWB ,B1   ,201809160911,343,1001001009
CWB ,B1   ,201809160912,263,1001001009
CWB ,B1   ,201809160913,288,1001001009
CWB ,B1   ,201809160914,282,1001001009
CWB ,B1   ,201809160915,310,1001001009
CWB ,B1   ,201809160916,275,1001001009
CWB ,B1   ,201809160917,306,1001001009
CWB ,B1   ,201809160918,293,1001001009
CWB ,B1   ,201809160919,285,1001001009
CWB ,B1   ,201809160920,263,1001001009
CWB ,B1   ,201809160921,243,1001001009
CWB ,B1   ,201809160922,256,1001001009
CWB ,B1   ,201809160923,289,1001001009
CWB ,B1   ,201809160924,308,1001001009
CWB ,B1   ,201809160925,311,1001001009
CWB ,B1   ,201809160926,321,1001001009
CWB ,B1   ,201809160927,322,1001001009
CWB ,B1   ,201809160928,286,1001001009
CWB ,B1   ,201809160929,331,1001001009
CWB ,B1   ,201809160930,319,1001001009
CWB ,B1   ,201809160931,314,1001001009
CWB ,B1   ,201809160932,314,1001001009
CWB ,B1   ,201809160933,279,1001001009
CWB ,B1   ,201809160934,293,1001001009
CWB ,B1   ,201809160935,291,1001001009
CWB ,B1   ,201809160936,,
CWB ,B1   ,201809160937,314,1001001009
CWB ,B1   ,201809160938,,
CWB ,B1   ,201809160939,308,1001001009
CWB ,B1   ,201809160940,328,1001001009
CWB ,B1   ,201809160941,319,1001001009
CWB ,B1   ,201809160942,310,1001001009
CWB ,B1   ,201809160943,301,1001001009
CWB ,B1   ,201809160944,304,1001001009
CWB ,B1   ,201809160945,328,1001001009
CWB ,B1   ,201809160946,266,1001001009
CWB ,B1   ,201809160947,283,1001001009
CWB ,B1   ,201809160948,334,1001001009
CWB ,B1   ,201809160949,295,1001001009
CWB ,B1   ,201809160950,296,1001001009
CWB ,B1   ,201809160951,276,1001001009
CWB ,B1   ,201809160952,349,1001001009
CWB ,B1   ,201809160953,360,1001001009
CWB ,B1   ,201809160954,375,1001001009
CWB ,B1   ,201809160955,356,1001001009
CWB ,B1   ,201809160956,358,1001001009
CWB ,B1   ,201809160957,397,1001001009
CWB ,B1   ,201809160958,329,1001001009
CWB ,B1   ,201809160959,335,1001001009
CWB ,B1   ,201809161000,307,1001001009
CWB ,B1   ,201809161001,359,1001001009
CWB ,B1   ,201809161002,386,1001001009
CWB ,B1   ,201809161003,325,1001001009
CWB ,B1   ,201809161004,379,1001001009
CWB ,B1   ,201809161005,357,1001001009
CWB ,B1   ,201809161006,351,1001001009
CWB ,B1   ,201809161007,412,1001001009
CWB ,B1   ,201809161008,412,1001001009
CWB ,B1   ,201809161009,355,1001001009
CWB ,B1   ,201809161010,308,1001001009
CWB ,B1   ,201809161011,351,1001001009
CWB ,B1   ,201809161012,367,1001001009
CWB ,B1   ,201809161013,372,1001001009
CWB ,B1   ,201809161014,369,1001001009
CWB ,B1   ,201809161015,445,1001001009
CWB ,B1   ,201809161016,502,1001001009
CWB ,B1   ,201809161017,387,1001001009
CWB ,B1   ,201809161018,466,1001001009
CWB ,B1   ,201809161019,461,1001001009
CWB ,B1   ,201809161020,400,1001001009
CWB ,B1   ,201809161021,401,1001001009
CWB ,B1   ,201809161022,386,1001001009
CWB ,B1   ,201809161023,449,1001001009
CWB ,B1   ,201809161024,414,1001001009
CWB ,B1   ,201809161025,424,1001001009
CWB ,B1   ,201809161026,426,1001001009
CWB ,B1   ,201809161027,379,1001001009
CWB ,B1   ,201809161028,418,1001001009
CWB ,B1   ,201809161029,397,1001001009
CWB ,B1   ,201809161030,430,1001001009
CWB ,B1   ,201809161031,415,1001001009
CWB ,B1   ,201809161032,428,1001001009
CWB ,B1   ,201809161033,364,1001001009
CWB ,B1   ,201809161034,405,1001001009
CWB ,B1   ,201809161035,403,1001001009
CWB ,B1   ,201809161036,418,1001001009
CWB ,B1   ,201809161037,461,1001001009
CWB ,B1   ,201809161038,400,1001001009
CWB ,B1   ,201809161039,409,1001001009
CWB ,B1   ,201809161040,455,1001001009
CWB ,B1   ,201809161041,439,1001001009
CWB ,B1   ,201809161042,427,1001001009
CWB ,B1   ,201809161043,422,1001001009
CWB ,B1   ,201809161044,409,1001001009
CWB ,B1   ,201809161045,453,1001001009
