NP  ,B1   ,201809160710,131,1001001009
NP  ,B1   ,201809160711,149,1001001009
NP  ,B1   ,201809160712,120,1001001009
NP  ,B1   ,201809160713,127,1001001009
NP  ,B1   ,201809160714,116,1001001009
NP  ,B1   ,201809160715,151,1001001009
NP  ,B1   ,201809160716,131,1001001009
NP  ,B1   ,201809160717,146,1001001009
NP  ,B1   ,201809160718,134,1001001009
NP  ,B1   ,201809160719,132,1001001009
NP  ,B1   ,201809160720,119,1001001009
NP  ,B1   ,201809160721,60,1001001009
NP  ,B1   ,201809160722,68,1001001009
NP  ,B1   ,201809160723,159,1001001009
NP  ,B1   ,201809160724,147,1001001009
NP  ,B1   ,201809160725,122,1001001009
NP  ,B1   ,201809160726,108,1001001009
NP  ,B1   ,201809160727,109,1001001009
NP  ,B1   ,201809160728,129,1001001009
NP  ,B1   ,201809160729,89,1001001009
NP  ,B1   ,201809160730,123,1001001009
NP  ,B1   ,201809160731,132,1001001009
NP  ,B1   ,201809160732,149,1001001009
NP  ,B1   ,201809160733,127,1001001009
NP  ,B1   ,201809160734,106,1001001009
NP  ,B1   ,201809160735,132,1001001009
NP  ,B1   ,201809160736,112,1001001009
NP  ,B1   ,201809160737,142,1001001009
NP  ,B1   ,201809160738,99,1001001009
NP  ,B1   ,201809160739,113,1001001009
NP  ,B1   ,201809160740,133,1001001009
NP  ,B1   ,201809160741,122,1001001009
NP  ,B1   ,201809160742,114,1001001009
NP  ,B1   ,201809160743,95,1001001009
NP  ,B1   ,201809160744,116,1001001009
NP  ,B1   ,201809160745,117,1001001009
NP  ,B1   ,201809160746,144,1001001009
NP  ,B1   ,201809160747,123,1001001009
NP  ,B1   ,201809160748,119,1001001009
NP  ,B1   ,201809160749,97,1001001009
NP  ,B1   ,201809160750,105,1001001009
NP  ,B1   ,201809160751,114,1001001009
NP  ,B1   ,201809160752,126,1001001009
NP  ,B1   ,201809160753,122,1001001009
NP  ,B1   ,201809160754,120,1001001009
NP  ,B1   ,201809160755,135,1001001009
NP  ,B1   ,201809160756,140,1001001009
NP  ,B1   ,201809160757,107,1001001009
NP  ,B1   ,201809160758,93,1001001009
NP  ,B1   ,201809160759,139,1001001009
NP  ,B1   ,201809160800,105,1001001009
NP  ,B1   ,201809160801,134,1001001009
NP  ,B1   ,201809160802,150,1001001009
NP  ,B1   ,201809160803,141,1001001009
NP  ,B1   ,201809160804,151,1001001009
NP  ,B1   ,201809160805,166,1001001009
NP  ,B1   ,201809160806,144,1001001009
NP  ,B1   ,201809160807,143,1001001009
NP  ,B1   ,201809160808,129,1001001009
NP  ,B1   ,201809160809,150,1001001009
NP  ,B1   ,201809160810,149,1001001009
NP  ,B1   ,201809160811,141,1001001009
NP  ,B1   ,201809160812,144,1001001009
NP  ,B1   ,201809160813,146,1001001009
NP  ,B1   ,201809160814,141,1001001009
NP  ,B1   ,201809160815,177,1001001009
NP  ,B1   ,201809160816,155,1001001009
NP  ,B1   ,201809160817,143,1001001009
NP  ,B1   ,201809160818,136,1001001009
NP  ,B1   ,201809160819,134,1001001009
NP  ,B1   ,201809160820,157,1001001009
NP  ,B1   ,201809160821,158,1001001009
NP  ,B1   ,201809160822,138,1001001009
NP  ,B1   ,201809160823,179,1001001009
NP  ,B1   ,201809160824,188,1001001009
NP  ,B1   ,201809160825,167,1001001009
NP  ,B1   ,201809160826,139,1001001009
NP  ,B1   ,201809160827,116,1001001009
NP  ,B1   ,201809160828,160,1001001009
NP  ,B1   ,201809160829,161,1001001009
NP  ,B1   ,201809160830,142,1001001009
NP  ,B1   ,201809160831,181,1001001009
NP  ,B1   ,201809160832,155,1001001009
NP  ,B1   ,201809160833,193,1001001009
NP  ,B1   ,201809160834,150,1001001009
NP  ,B1   ,201809160835,120,1001001009
NP  ,B1   ,201809160836,133,1001001009
NP  ,B1   ,201809160837,132,1001001009
NP  ,B1   ,201809160838,142,1001001009
NP  ,B1   ,201809160839,149,1001001009
NP  ,B1   ,201809160840,151,1001001009
NP  ,B1   ,201809160841,159,1001001009
NP  ,B1   ,201809160842,145,1001001009
NP  ,B1   ,201809160843,145,1001001009
NP  ,B1   ,201809160844,175,1001001009
NP  ,B1   ,201809160845,148,1001001009
NP  ,B1   ,201809160846,157,1001001009
NP  ,B1   ,201809160847,165,1001001009
NP  ,B1   ,201809160848,129,1001001009
NP  ,B1   ,201809160849,146,1001001009
NP  ,B1   ,201809160850,154,1001001009
NP  ,B1   ,201809160851,169,1001001009
NP  ,B1   ,201809160852,188,1001001009
NP  ,B1   ,201809160853,172,1001001009
NP  ,B1   ,201809160854,181,1001001009
NP  ,B1   ,201809160855,216,1001001009
NP  ,B1   ,201809160856,148,1001001009
NP  ,B1   ,201809160857,200,1001001009
NP  ,B1   ,201809160858,162,1001001009
NP  ,B1   ,201809160859,165,1001001009
NP  ,B1   ,201809160900,174,1001001009
NP  ,B1   ,201809160901,214,1001001009
NP  ,B1   ,201809160902,198,1001001009
NP  ,B1   ,201809160903,175,1001001009
NP  ,B1   ,201809160904,150,1001001009
NP  ,B1   ,201809160905,205,1001001009
NP  ,B1   ,201809160906,207,1001001009
NP  ,B1   ,201809160907,134,1001001009
NP  ,B1   ,201809160908,202,1001001009
NP ,B1   ,201809160909,,
NP  ,B1   ,201809160910,151,1001001009
NP  ,B1   ,201809160911,130,1001001009
NP  ,B1   ,201809160912,157,1001001009
NP  ,B1   ,201809160913,153,1001001009
NP  ,B1   ,201809160914,158,1001001009
NP  ,B1   ,201809160915,209,1001001009
NP  ,B1   ,201809160916,219,1001001009
NP  ,B1   ,201809160917,188,1001001009
NP  ,B1   ,201809160918,201,1001001009
NP  ,B1   ,201809160919,186,1001001009
NP  ,B1   ,201809160920,193,1001001009
NP  ,B1   ,201809160921,173,1001001009
NP  ,B1   ,201809160922,180,1001001009
NP  ,B1   ,201809160923,210,1001001009
NP  ,B1   ,201809160924,233,1001001009
NP  ,B1   ,201809160925,194,1001001009
NP  ,B1   ,201809160926,225,1001001009
NP  ,B1   ,201809160927,191,1001001009
NP  ,B1   ,201809160928,201,1001001009
NP  ,B1   ,201809160929,275,1001001009
NP  ,B1   ,201809160930,231,1001001009
NP  ,B1   ,201809160931,197,1001001009
NP  ,B1   ,201809160932,213,1001001009
NP  ,B1   ,201809160933,203,1001001009
NP  ,B1   ,201809160934,285,1001001009
NP  ,B1   ,201809160935,215,1001001009
NP  ,B1   ,201809160936,171,1001001009
NP  ,B1   ,201809160937,194,1001001009
NP  ,B1   ,201809160938,204,1001001009
NP  ,B1   ,201809160939,194,1001001009
NP  ,B1   ,201809160940,210,1001001009
NP  ,B1   ,201809160941,172,1001001009
NP  ,B1   ,201809160942,187,1001001009
NP  ,B1   ,201809160943,214,1001001009
NP  ,B1   ,201809160944,186,1001001009
NP  ,B1   ,201809160945,204,1001001009
NP  ,B1   ,201809160946,193,1001001009
NP  ,B1   ,201809160947,224,1001001009
NP  ,B1   ,201809160948,206,1001001009
NP  ,B1   ,201809160949,193,1001001009
NP  ,B1   ,201809160950,224,1001001009
NP  ,B1   ,201809160951,189,1001001009
NP  ,B1   ,201809160952,214,1001001009
