SHW ,B1   ,201809160711,101,1001001009
SHW ,B1   ,201809160712,93,1001001009
SHW ,B1   ,201809160713,83,1001001009
SHW ,B1   ,201809160714,88,1001001009
SHW ,B1   ,201809160715,88,1001001009
SHW ,B1   ,201809160716,83,1001001009
SHW ,B1   ,201809160717,84,1001001009
SHW ,B1   ,201809160718,96,1001001009
SHW ,B1   ,201809160719,97,1001001009
SHW ,B1   ,201809160720,95,1001001009
SHW ,B1   ,201809160721,99,1001001009
SHW ,B1   ,201809160722,91,1001001009
SHW ,B1   ,201809160723,98,1001001009
SHW ,B1   ,201809160724,106,1001001009
SHW ,B1   ,201809160725,99,1001001009
SHW ,B1   ,201809160726,86,1001001009
SHW ,B1   ,201809160727,76,1001001009
SHW ,B1   ,201809160728,80,1001001009
SHW ,B1   ,201809160729,77,1001001009
SHW ,B1   ,201809160730,83,1001001009
SHW ,B1   ,201809160731,94,1001001009
SHW ,B1   ,201809160732,77,1001001009
SHW ,B1   ,201809160733,89,1001001009
SHW ,B1   ,201809160734,102,1001001009
SHW ,B1   ,201809160735,76,1001001009
SHW ,B1   ,201809160736,99,1001001009
SHW ,B1   ,201809160737,101,1001001009
SHW ,B1   ,201809160738,128,1001001009
SHW ,B1   ,201809160739,122,1001001009
SHW ,B1   ,201809160740,105,1001001009
SHW ,B1   ,201809160741,89,1001001009
SHW ,B1   ,201809160742,89,1001001009
SHW ,B1   ,201809160743,110,1001001009
SHW ,B1   ,201809160744,96,1001001009
SHW ,B1   ,201809160745,85,1001001009
SHW ,B1   ,201809160746,125,1001001009
SHW ,B1   ,201809160747,130,1001001009
SHW ,B1   ,201809160748,115,1001001009
SHW ,B1   ,201809160749,102,1001001009
SHW ,B1   ,201809160750,119,1001001009
SHW ,B1   ,201809160751,138,1001001009
SHW ,B1   ,201809160752,141,1001001009
SHW ,B1   ,201809160753,113,1001001009
SHW ,B1   ,201809160754,96,1001001009
SHW ,B1   ,201809160755,112,1001001009
SHW ,B1   ,201809160756,114,1001001009
SHW ,B1   ,201809160757,123,1001001009
SHW ,B1   ,201809160758,100,1001001009
SHW ,B1   ,201809160759,82,1001001009
SHW ,B1   ,201809160800,76,1001001009
SHW ,B1   ,201809160801,88,1001001009
SHW ,B1   ,201809160802,106,1001001009
SHW ,B1   ,201809160803,88,1001001009
SHW ,B1   ,201809160804,108,1001001009
SHW ,B1   ,201809160805,101,1001001009
SHW ,B1   ,201809160806,87,1001001009
SHW ,B1   ,201809160807,77,1001001009
SHW ,B1   ,201809160808,74,1001001009
SHW ,B1   ,201809160809,78,1001001009
SHW ,B1   ,201809160810,86,1001001009
SHW ,B1   ,201809160811,78,1001001009
SHW ,B1   ,201809160812,84,1001001009
SHW ,B1   ,201809160813,79,1001001009
SHW ,B1   ,201809160814,90,1001001009
SHW ,B1   ,201809160815,117,1001001009
SHW ,B1   ,201809160816,114,1001001009
SHW ,B1   ,201809160817,106,1001001009
SHW ,B1   ,201809160818,112,1001001009
SHW ,B1   ,201809160819,111,1001001009
SHW ,B1   ,201809160820,105,1001001009
SHW ,B1   ,201809160821,86,1001001009
SHW ,B1   ,201809160822,94,1001001009
SHW ,B1   ,201809160823,96,1001001009
SHW ,B1   ,201809160824,90,1001001009
SHW ,B1   ,201809160825,120,1001001009
SHW ,B1   ,201809160826,101,1001001009
SHW ,B1   ,201809160827,100,1001001009
SHW ,B1   ,201809160828,80,1001001009
SHW ,B1   ,201809160829,76,1001001009
SHW ,B1   ,201809160830,88,1001001009
SHW ,B1   ,201809160831,101,1001001009
SHW ,B1   ,201809160832,85,1001001009
SHW ,B1   ,201809160833,79,1001001009
SHW ,B1   ,201809160834,79,1001001009
SHW ,B1   ,201809160835,91,1001001009
SHW ,B1   ,201809160836,92,1001001009
SHW ,B1   ,201809160837,94,1001001009
SHW ,B1   ,201809160838,116,1001001009
SHW ,B1   ,201809160839,99,1001001009
SHW ,B1   ,201809160840,98,1001001009
SHW ,B1   ,201809160841,89,1001001009
SHW ,B1   ,201809160842,75,1001001009
SHW ,B1   ,201809160843,90,1001001009
SHW ,B1   ,201809160844,92,1001001009
SHW ,B1   ,201809160845,79,1001001009
SHW ,B1   ,201809160846,85,1001001009
SHW ,B1   ,201809160847,85,1001001009
SHW ,B1   ,201809160848,104,1001001009
SHW ,B1   ,201809160849,108,1001001009
SHW ,B1   ,201809160850,106,1001001009
SHW ,B1   ,201809160851,113,1001001009
SHW ,B1   ,201809160852,100,1001001009
SHW ,B1   ,201809160853,95,1001001009
SHW ,B1   ,201809160854,99,1001001009
SHW ,B1   ,201809160855,93,1001001009
SHW ,B1   ,201809160856,102,1001001009
SHW ,B1   ,201809160857,81,1001001009
SHW ,B1   ,201809160858,73,1001001009
SHW ,B1   ,201809160859,81,1001001009
SHW ,B1   ,201809160900,85,1001001009
SHW ,B1   ,201809160901,74,1001001009
SHW ,B1   ,201809160902,89,1001001009
SHW ,B1   ,201809160903,76,1001001009
SHW ,B1   ,201809160904,86,1001001009
SHW ,B1   ,201809160905,86,1001001009
SHW ,B1   ,201809160906,78,1001001009
SHW ,B1   ,201809160907,88,1001001009
SHW ,B1   ,201809160908,94,1001001009
SHW ,B1   ,201809160909,88,1001001009
