WLP ,B1   ,201809160727,34,1001001009
WLP ,B1   ,201809160728,39,1001001009
WLP ,B1   ,201809160729,25,1001001009
WLP ,B1   ,201809160730,40,1001001009
WLP ,B1   ,201809160731,35,1001001009
WLP ,B1   ,201809160732,42,1001001009
WLP ,B1   ,201809160733,35,1001001009
WLP ,B1   ,201809160734,34,1001001009
WLP ,B1   ,201809160735,31,1001001009
WLP ,B1   ,201809160736,24,1001001009
WLP ,B1   ,201809160737,41,1001001009
WLP ,B1   ,201809160738,42,1001001009
WLP ,B1   ,201809160739,43,1001001009
WLP ,B1   ,201809160740,33,1001001009
WLP ,B1   ,201809160741,59,1001001009
WLP ,B1   ,201809160742,55,1001001009
WLP ,B1   ,201809160743,40,1001001009
WLP ,B1   ,201809160744,35,1001001009
WLP ,B1   ,201809160745,33,1001001009
WLP ,B1   ,201809160746,39,1001001009
WLP ,B1   ,201809160747,34,1001001009
WLP ,B1   ,201809160748,54,1001001009
WLP ,B1   ,201809160749,43,1001001009
WLP ,B1   ,201809160750,55,1001001009
WLP ,B1   ,201809160751,53,1001001009
WLP ,B1   ,201809160752,48,1001001009
WLP ,B1   ,201809160753,55,1001001009
WLP ,B1   ,201809160754,37,1001001009
WLP ,B1   ,201809160755,50,1001001009
WLP ,B1   ,201809160756,33,1001001009
WLP ,B1   ,201809160757,58,1001001009
WLP ,B1   ,201809160758,48,1001001009
WLP ,B1   ,201809160759,40,1001001009
WLP ,B1   ,201809160800,60,1001001009
WLP ,B1   ,201809160801,39,1001001009
WLP ,B1   ,201809160802,47,1001001009
WLP ,B1   ,201809160803,41,1001001009
WLP ,B1   ,201809160804,52,1001001009
WLP ,B1   ,201809160805,45,1001001009
WLP ,B1   ,201809160806,53,1001001009
WLP ,B1   ,201809160807,38,1001001009
WLP ,B1   ,201809160808,44,1001001009
WLP ,B1   ,201809160809,50,1001001009
WLP ,B1   ,201809160810,63,1001001009
WLP ,B1   ,201809160811,46,1001001009
WLP ,B1   ,201809160812,49,1001001009
WLP ,B1   ,201809160813,54,1001001009
WLP ,B1   ,201809160814,43,1001001009
WLP ,B1   ,201809160815,68,1001001009
WLP ,B1   ,201809160816,30,1001001009
WLP ,B1   ,201809160817,44,1001001009
WLP ,B1   ,201809160818,48,1001001009
WLP ,B1   ,201809160819,57,1001001009
WLP ,B1   ,201809160820,51,1001001009
WLP ,B1   ,201809160821,28,1001001009
WLP ,B1   ,201809160822,34,1001001009
WLP ,B1   ,201809160823,29,1001001009
WLP ,B1   ,201809160824,32,1001001009
WLP ,B1   ,201809160825,45,1001001009
WLP ,B1   ,201809160826,41,1001001009
WLP ,B1   ,201809160827,33,1001001009
WLP ,B1   ,201809160828,34,1001001009
WLP ,B1   ,201809160829,36,1001001009
WLP ,B1   ,201809160830,40,1001001009
WLP ,B1   ,201809160831,53,1001001009
WLP ,B1   ,201809160832,38,1001001009
WLP ,B1   ,201809160833,39,1001001009
WLP ,B1   ,201809160834,40,1001001009
WLP ,B1   ,201809160835,50,1001001009
WLP ,B1   ,201809160836,43,1001001009
WLP ,B1   ,201809160837,49,1001001009
WLP ,B1   ,201809160838,65,1001001009
WLP ,B1   ,201809160839,59,1001001009
WLP ,B1   ,201809160840,71,1001001009
WLP ,B1   ,201809160841,53,1001001009
WLP ,B1   ,201809160842,49,1001001009
WLP ,B1   ,201809160843,69,1001001009
WLP ,B1   ,201809160844,75,1001001009
WLP ,B1   ,201809160845,45,1001001009
WLP ,B1   ,201809160846,40,1001001009
WLP ,B1   ,201809160847,44,1001001009
WLP ,B1   ,201809160848,54,1001001009
WLP ,B1   ,201809160849,62,1001001009
WLP ,B1   ,201809160850,56,1001001009
WLP ,B1   ,201809160851,42,1001001009
WLP ,B1   ,201809160852,41,1001001009
WLP ,B1   ,201809160853,51,1001001009
WLP ,B1   ,201809160854,51,1001001009
WLP ,B1   ,201809160855,52,1001001009
WLP ,B1   ,201809160856,64,1001001009
WLP ,B1   ,201809160857,58,1001001009
WLP ,B1   ,201809160858,37,1001001009
WLP ,B1   ,201809160859,48,1001001009
WLP ,B1   ,201809160900,46,1001001009
WLP ,B1   ,201809160901,43,1001001009
WLP ,B1   ,201809160902,35,1001001009
WLP ,B1   ,201809160903,48,1001001009
WLP ,B1   ,201809160904,77,1001001009
WLP ,B1   ,201809160905,48,1001001009
WLP ,B1   ,201809160906,81,1001001009
WLP ,B1   ,201809160907,47,1001001009
WLP ,B1   ,201809160908,58,1001001009
WLP ,B1   ,201809160909,58,1001001009
WLP ,B1   ,201809160910,53,1001001009
WLP ,B1   ,201809160911,66,1001001009
WLP ,B1   ,201809160912,61,1001001009
WLP ,B1   ,201809160913,33,1001001009
WLP ,B1   ,201809160914,51,1001001009
WLP ,B1   ,201809160915,48,1001001009
WLP ,B1   ,201809160916,33,1001001009
WLP ,B1   ,201809160917,62,1001001009
WLP ,B1   ,201809160918,66,1001001009
WLP ,B1   ,201809160919,41,1001001009
WLP ,B1   ,201809160920,40,1001001009
WLP ,B1   ,201809160921,42,1001001009
WLP ,B1   ,201809160922,53,1001001009
WLP ,B1   ,201809160923,60,1001001009
WLP ,B1   ,201809160924,67,1001001009
WLP ,B1   ,201809160925,56,1001001009
