SEK ,B1   ,201809160713,58,1001001009
SEK ,B1   ,201809160714,71,1001001009
SEK ,B1   ,201809160715,57,1001001009
SEK ,B1   ,201809160716,98,1001001009
SEK ,B1   ,201809160717,55,1001001009
SEK ,B1   ,201809160718,72,1001001009
SEK ,B1   ,201809160719,47,1001001009
SEK ,B1   ,201809160720,55,1001001009
SEK ,B1   ,201809160721,75,1001001009
SEK ,B1   ,201809160722,61,1001001009
SEK ,B1   ,201809160723,57,1001001009
SEK ,B1   ,201809160724,37,1001001009
SEK ,B1   ,201809160725,31,1001001009
SEK ,B1   ,201809160726,78,1001001009
SEK ,B1   ,201809160727,79,1001001009
SEK ,B1   ,201809160728,79,1001001009
SEK ,B1   ,201809160729,65,1001001009
SEK ,B1   ,201809160730,85,1001001009
SEK ,B1   ,201809160731,84,1001001009
SEK ,B1   ,201809160732,94,1001001009
SEK ,B1   ,201809160733,78,1001001009
SEK ,B1   ,201809160734,73,1001001009
SEK ,B1   ,201809160735,76,1001001009
SEK ,B1   ,201809160736,113,1001001009
SEK ,B1   ,201809160737,102,1001001009
SEK ,B1   ,201809160738,90,1001001009
SEK ,B1   ,201809160739,66,1001001009
SEK ,B1   ,201809160740,80,1001001009
SEK ,B1   ,201809160741,81,1001001009
SEK ,B1   ,201809160742,62,1001001009
SEK ,B1   ,201809160743,95,1001001009
SEK ,B1   ,201809160744,78,1001001009
SEK ,B1   ,201809160745,88,1001001009
SEK ,B1   ,201809160746,58,1001001009
SEK ,B1   ,201809160747,74,1001001009
SEK ,B1   ,201809160748,75,1001001009
SEK ,B1   ,201809160749,67,1001001009
SEK ,B1   ,201809160750,67,1001001009
SEK ,B1   ,201809160751,83,1001001009
SEK ,B1   ,201809160752,80,1001001009
SEK ,B1   ,201809160753,85,1001001009
SEK ,B1   ,201809160754,82,1001001009
SEK ,B1   ,201809160755,70,1001001009
SEK ,B1   ,201809160756,67,1001001009
SEK ,B1   ,201809160757,77,1001001009
SEK ,B1   ,201809160758,62,1001001009
SEK ,B1   ,201809160759,91,1001001009
SEK ,B1   ,201809160800,76,1001001009
SEK ,B1   ,201809160801,77,1001001009
SEK ,B1   ,201809160802,68,1001001009
SEK ,B1   ,201809160803,66,1001001009
SEK ,B1   ,201809160804,99,1001001009
SEK ,B1   ,201809160805,98,1001001009
SEK ,B1   ,201809160806,81,1001001009
SEK ,B1   ,201809160807,88,1001001009
SEK ,B1   ,201809160808,77,1001001009
SEK ,B1   ,201809160809,82,1001001009
SEK ,B1   ,201809160810,92,1001001009
SEK ,B1   ,201809160811,92,1001001009
SEK ,B1   ,201809160812,77,1001001009
SEK ,B1   ,201809160813,57,1001001009
SEK ,B1   ,201809160814,52,1001001009
SEK ,B1   ,201809160815,51,1001001009
SEK ,B1   ,201809160816,86,1001001009
SEK ,B1   ,201809160817,73,1001001009
SEK ,B1   ,201809160818,50,1001001009
SEK ,B1   ,201809160819,68,1001001009
SEK ,B1   ,201809160820,66,1001001009
SEK ,B1   ,201809160821,49,1001001009
SEK ,B1   ,201809160822,73,1001001009
SEK ,B1   ,201809160823,69,1001001009
SEK ,B1   ,201809160824,65,1001001009
SEK ,B1   ,201809160825,56,1001001009
SEK ,B1   ,201809160826,65,1001001009
SEK ,B1   ,201809160827,43,1001001009
SEK ,B1   ,201809160828,48,1001001009
SEK ,B1   ,201809160829,54,1001001009
SEK ,B1   ,201809160830,36,1001001009
SEK ,B1   ,201809160831,50,1001001009
SEK ,B1   ,201809160832,50,1001001009
SEK ,B1   ,201809160833,50,1001001009
SEK ,B1   ,201809160834,69,1001001009
SEK ,B1   ,201809160835,85,1001001009
SEK ,B1   ,201809160836,76,1001001009
SEK ,B1   ,201809160837,76,1001001009
SEK ,B1   ,201809160838,66,1001001009
SEK ,B1   ,201809160839,95,1001001009
SEK ,B1   ,201809160840,113,1001001009
SEK ,B1   ,201809160841,78,1001001009
SEK ,B1   ,201809160842,75,1001001009
SEK ,B1   ,201809160843,93,1001001009
SEK ,B1   ,201809160844,81,1001001009
SEK ,B1   ,201809160845,95,1001001009
SEK ,B1   ,201809160846,83,1001001009
SEK ,B1   ,201809160847,69,1001001009
