YTS ,B1   ,201809160822,212,1001001009
YTS ,B1   ,201809160823,165,1001001009
YTS ,B1   ,201809160824,223,1001001009
YTS ,B1   ,201809160825,243,1001001009
YTS ,B1   ,201809160826,210,1001001009
YTS ,B1   ,201809160827,234,1001001009
YTS ,B1   ,201809160828,244,1001001009
YTS ,B1   ,201809160829,228,1001001009
YTS ,B1   ,201809160830,291,1001001009
YTS ,B1   ,201809160831,272,1001001009
YTS ,B1   ,201809160832,247,1001001009
YTS ,B1   ,201809160833,247,1001001009
YTS ,B1   ,201809160834,204,1001001009
YTS ,B1   ,201809160835,201,1001001009
YTS ,B1   ,201809160836,263,1001001009
YTS ,B1   ,201809160837,224,1001001009
YTS ,B1   ,201809160838,225,1001001009
YTS ,B1   ,201809160839,214,1001001009
YTS ,B1   ,201809160840,222,1001001009
YTS ,B1   ,201809160841,258,1001001009
YTS ,B1   ,201809160842,250,1001001009
YTS ,B1   ,201809160843,227,1001001009
YTS ,B1   ,201809160844,218,1001001009
YTS ,B1   ,201809160845,198,1001001009
YTS ,B1   ,201809160846,256,1001001009
YTS ,B1   ,201809160847,241,1001001009
YTS ,B1   ,201809160848,210,1001001009
YTS ,B1   ,201809160849,271,1001001009
YTS ,B1   ,201809160850,238,1001001009
YTS ,B1   ,201809160851,211,1001001009
YTS ,B1   ,201809160852,215,1001001009
YTS ,B1   ,201809160853,228,1001001009
YTS ,B1   ,201809160854,267,1001001009
YTS ,B1   ,201809160855,273,1001001009
YTS ,B1   ,201809160856,259,1001001009
YTS ,B1   ,201809160857,265,1001001009
YTS ,B1   ,201809160858,258,1001001009
YTS ,B1   ,201809160859,287,1001001009
YTS ,B1   ,201809160900,291,1001001009
YTS ,B1   ,201809160901,293,1001001009
YTS ,B1   ,201809160902,305,1001001009
YTS ,B1   ,201809160903,259,1001001009
YTS ,B1   ,201809160904,271,1001001009
YTS ,B1   ,201809160905,272,1001001009
YTS ,B1   ,201809160906,299,1001001009
YTS ,B1   ,201809160907,208,1001001009
YTS ,B1   ,201809160908,186,1001001009
YTS ,B1   ,201809160909,238,1001001009
YTS ,B1   ,201809160910,253,1001001009
YTS ,B1   ,201809160911,273,1001001009
YTS ,B1   ,201809160912,264,1001001009
YTS ,B1   ,201809160913,252,1001001009
YTS ,B1   ,201809160914,235,1001001009
YTS ,B1   ,201809160915,276,1001001009
YTS ,B1   ,201809160916,227,1001001009
YTS ,B1   ,201809160917,291,1001001009
YTS ,B1   ,201809160918,325,1001001009
YTS ,B1   ,201809160919,355,1001001009
YTS ,B1   ,201809160920,292,1001001009
YTS ,B1   ,201809160921,205,1001001009
YTS ,B1   ,201809160922,250,1001001009
YTS ,B1   ,201809160923,,
YTS ,B1   ,201809160924,255,1001001009
YTS ,B1   ,201809160925,232,1001001009
YTS ,B1   ,201809160926,239,1001001009
YTS ,B1   ,201809160927,215,1001001009
YTS ,B1   ,201809160928,275,1001001009
YTS ,B1   ,201809160929,274,1001001009
YTS ,B1   ,201809160930,248,1001001009
YTS ,B1   ,201809160931,270,1001001009
YTS ,B1   ,201809160932,182,1001001009
YTS ,B1   ,201809160933,267,1001001009
YTS ,B1   ,201809160934,263,1001001009
YTS ,B1   ,201809160935,264,1001001009
YTS ,B1   ,201809160936,272,1001001009
YTS ,B1   ,201809160937,264,1001001009
YTS ,B1   ,201809160938,250,1001001009
YTS ,B1   ,201809160939,212,1001001009
YTS ,B1   ,201809160940,212,1001001009
YTS ,B1   ,201809160941,262,1001001009
YTS ,B1   ,201809160942,286,1001001009
YTS ,B1   ,201809160943,320,1001001009
YTS ,B1   ,201809160944,330,1001001009
YTS ,B1   ,201809160945,353,1001001009
YTS ,B1   ,201809160946,271,1001001009
YTS ,B1   ,201809160947,290,1001001009
YTS ,B1   ,201809160948,339,1001001009
YTS ,B1   ,201809160949,236,1001001009
YTS ,B1   ,201809160950,250,1001001009
YTS ,B1   ,201809160951,231,1001001009
YTS ,B1   ,201809160952,212,1001001009
YTS ,B1   ,201809160953,250,1001001009
YTS ,B1   ,201809160954,165,1001001009
YTS ,B1   ,201809160955,147,1001001009
YTS ,B1   ,201809160956,236,1001001009
YTS ,B1   ,201809160957,266,1001001009
YTS ,B1   ,201809160958,308,1001001009
YTS ,B1   ,201809160959,331,1001001009
YTS ,B1   ,201809161000,312,1001001009
YTS ,B1   ,201809161001,265,1001001009
YTS ,B1   ,201809161002,261,1001001009
YTS ,B1   ,201809161003,360,1001001009
YTS ,B1   ,201809161004,355,1001001009
YTS ,B1   ,201809161005,347,1001001009
YTS ,B1   ,201809161006,287,1001001009
YTS ,B1   ,201809161007,310,1001001009
YTS ,B1   ,201809161008,277,1001001009
YTS ,B1   ,201809161009,285,1001001009
YTS ,B1   ,201809161010,,
YTS ,B1   ,201809161011,351,1001001009
YTS ,B1   ,201809161012,318,1001001009
YTS ,B1   ,201809161013,,
YTS ,B1   ,201809161014,,
YTS ,B1   ,201809161015,340,1001001009
YTS ,B1   ,201809161016,296,1001001009
YTS ,B1   ,201809161017,409,1001001009
YTS ,B1   ,201809161018,390,1001001009
YTS ,B1   ,201809161019,,
YTS ,B1   ,201809161020,396,1001001009
YTS ,B1   ,201809161021,336,1001001009
YTS ,B1   ,201809161022,348,1001001009
YTS ,B1   ,201809161023,334,1001001009
YTS ,B1   ,201809161024,390,1001001009
YTS ,B1   ,201809161025,310,1001001009
YTS ,B1   ,201809161026,320,1001001009
YTS ,B1   ,201809161027,456,1001001009
YTS ,B1   ,201809161028,383,1001001009
YTS ,B1   ,201809161029,,
YTS ,B1   ,201809161030,397,1001001009
YTS ,B1   ,201809161031,,
YTS ,B1   ,201809161032,422,1001001009
YTS ,B1   ,201809161033,383,1001001009
YTS ,B1   ,201809161034,,
YTS ,B1   ,201809161035,341,1001001009
YTS ,B1   ,201809161036,323,1001001009
YTS ,B1   ,201809161037,398,1001001009
YTS ,B1   ,201809161038,430,1001001009
YTS ,B1   ,201809161039,,
