TPK ,B1   ,201809160855,84,1001001009
TPK ,B1   ,201809160856,77,1001001009
TPK ,B1   ,201809160857,111,1001001009
TPK ,B1   ,201809160858,118,1001001009
TPK ,B1   ,201809160859,112,1001001009
TPK ,B1   ,201809160900,121,1001001009
TPK ,B1   ,201809160901,81,1001001009
TPK ,B1   ,201809160902,106,1001001009
TPK ,B1   ,201809160903,145,1001001009
TPK ,B1   ,201809160904,96,1001001009
TPK ,B1   ,201809160905,88,1001001009
TPK ,B1   ,201809160906,107,1001001009
TPK ,B1   ,201809160907,102,1001001009
TPK ,B1   ,201809160908,84,1001001009
TPK ,B1   ,201809160909,73,1001001009
TPK ,B1   ,201809160910,77,1001001009
TPK ,B1   ,201809160911,110,1001001009
TPK ,B1   ,201809160912,126,1001001009
TPK ,B1   ,201809160913,139,1001001009
TPK ,B1   ,201809160914,116,1001001009
TPK ,B1   ,201809160915,173,1001001009
TPK ,B1   ,201809160916,122,1001001009
TPK ,B1   ,201809160917,77,1001001009
TPK ,B1   ,201809160918,99,1001001009
TPK ,B1   ,201809160919,67,1001001009
TPK ,B1   ,201809160920,77,1001001009
TPK ,B1   ,201809160921,124,1001001009
TPK ,B1   ,201809160922,121,1001001009
TPK ,B1   ,201809160923,151,1001001009
TPK ,B1   ,201809160924,182,1001001009
TPK ,B1   ,201809160925,138,1001001009
TPK ,B1   ,201809160926,159,1001001009
TPK ,B1   ,201809160927,149,1001001009
TPK ,B1   ,201809160928,192,1001001009
TPK ,B1   ,201809160929,178,1001001009
TPK ,B1   ,201809160930,185,1001001009
TPK ,B1   ,201809160931,180,1001001009
TPK ,B1   ,201809160932,119,1001001009
TPK ,B1   ,201809160933,162,1001001009
TPK ,B1   ,201809160934,135,1001001009
TPK ,B1   ,201809160935,143,1001001009
TPK ,B1   ,201809160936,146,1001001009
TPK ,B1   ,201809160937,151,1001001009
TPK ,B1   ,201809160938,151,1001001009
TPK ,B1   ,201809160939,158,1001001009
TPK ,B1   ,201809160940,149,1001001009
TPK ,B1   ,201809160941,137,1001001009
TPK ,B1   ,201809160942,166,1001001009
TPK ,B1   ,201809160943,162,1001001009
TPK ,B1   ,201809160944,149,1001001009
TPK ,B1   ,201809160945,170,1001001009
TPK ,B1   ,201809160946,162,1001001009
TPK ,B1   ,201809160947,164,1001001009
TPK ,B1   ,201809160948,150,1001001009
TPK ,B1   ,201809160949,132,1001001009
TPK ,B1   ,201809160950,133,1001001009
TPK ,B1   ,201809160951,115,1001001009
TPK ,B1   ,201809160952,178,1001001009
TPK ,B1   ,201809160953,137,1001001009
TPK ,B1   ,201809160954,137,1001001009
TPK ,B1   ,201809160955,128,1001001009
TPK ,B1   ,201809160956,131,1001001009
TPK ,B1   ,201809160957,153,1001001009
TPK ,B1   ,201809160958,126,1001001009
TPK ,B1   ,201809160959,118,1001001009
TPK ,B1   ,201809161000,89,1001001009
TPK ,B1   ,201809161001,131,1001001009
TPK ,B1   ,201809161002,145,1001001009
TPK ,B1   ,201809161003,149,1001001009
TPK ,B1   ,201809161004,160,1001001009
TPK ,B1   ,201809161005,152,1001001009
TPK ,B1   ,201809161006,152,1001001009
TPK ,B1   ,201809161007,165,1001001009
TPK ,B1   ,201809161008,208,1001001009
TPK ,B1   ,201809161009,167,1001001009
TPK ,B1   ,201809161010,188,1001001009
TPK ,B1   ,201809161011,162,1001001009
TPK ,B1   ,201809161012,140,1001001009
TPK ,B1   ,201809161013,164,1001001009
TPK ,B1   ,201809161014,107,1001001009
TPK ,B1   ,201809161015,154,1001001009
TPK ,B1   ,201809161016,128,1001001009
TPK ,B1   ,201809161017,151,1001001009
TPK ,B1   ,201809161018,160,1001001009
TPK ,B1   ,201809161019,182,1001001009
TPK ,B1   ,201809161020,182,1001001009
TPK ,B1   ,201809161021,171,1001001009
TPK ,B1   ,201809161022,163,1001001009
TPK ,B1   ,201809161023,177,1001001009
TPK ,B1   ,201809161024,187,1001001009
TPK ,B1   ,201809161025,210,1001001009
TPK ,B1   ,201809161026,219,1001001009
TPK ,B1   ,201809161027,219,1001001009
TPK ,B1   ,201809161028,229,1001001009
TPK ,B1   ,201809161029,190,1001001009
TPK ,B1   ,201809161030,193,1001001009
TPK ,B1   ,201809161031,162,1001001009
TPK ,B1   ,201809161032,153,1001001009
TPK ,B1   ,201809161033,223,1001001009
TPK ,B1   ,201809161034,127,1001001009
TPK ,B1   ,201809161035,182,1001001009
